"","nh","year","villid","thanaid","agehead","sexhead","educhead","famsize","hhland","hhasset","expfd","expnfd","exptot","dmmfd","dfmfd","weight","vaccess","pcirr","rice","wheat","milk","potato","egg","oil","village.id","ln.exptot","ln.lands","program.male","program.female"
"1",11054,1,1,1,79,1,0,2,36,33295,8262.9580078125,1240.357421875,9503.3154296875,0,1,1.04273509979248,1,0.449999988079071,12.6313886642456,8.12017822265625,11.503586769104,8.54742813110352,2.19921493530273,40.6008949279785,11,9.15950107574463,0.307484686374664,1,1
"2",11061,1,1,1,43,1,6,4,116,180325,6724.861328125,12486.466796875,19211.328125,1,1,1.01139605045319,1,0.449999988079071,12.6313886642456,8.12017822265625,11.503586769104,8.54742813110352,2.19921493530273,40.6008949279785,11,9.86330699920654,0.770108222961426,1,1
"3",11081,1,1,1,52,0,0,7,91,80735,5113.392578125,2393.6162109375,7507.0087890625,0,1,1.01139605045319,1,0.449999988079071,12.6313886642456,8.12017822265625,11.503586769104,8.54742813110352,2.19921493530273,40.6008949279785,11,8.92372512817383,0.647103250026703,1,1
"4",11101,1,1,1,48,1,0,7,8,16755,4080.9697265625,1252.92431640625,5333.89404296875,0,1,1.01139605045319,1,0.449999988079071,12.6313886642456,8.12017822265625,11.503586769104,8.54742813110352,2.19921493530273,40.6008949279785,11,8.58202457427979,0.0769610404968262,1,1
"5",12021,1,2,1,35,1,10,5,10,18795,7031.53369140625,17638.515625,24670.048828125,0,1,0.76305216550827,1,0.200000002980232,10.1502237319946,6.09013414382935,10.8269052505493,6.86846923828125,2.03004455566406,43.3076210021973,12,10.1133861541748,0.0953101813793182,0,1
"6",12035,1,2,1,33,1,5,7,16,44877.5234375,2107.37963867188,1168.62915039062,3276.0087890625,0,0,2.24899578094482,1,0.200000002980232,10.1502237319946,6.09013414382935,10.8269052505493,6.86846923828125,2.03004455566406,43.3076210021973,12,8.09468650817871,0.148420006036758,0,1
"7",12051,1,2,1,26,1,2,3,1,5142.77978515625,4824.96533203125,1167.0498046875,5992.01513671875,0,0,0.76305216550827,1,0.200000002980232,10.1502237319946,6.09013414382935,10.8269052505493,6.86846923828125,2.03004455566406,43.3076210021973,12,8.69834995269775,0.00995033048093319,0,1
"8",12054,1,2,1,38,1,5,4,66,113032.890625,5890.5126953125,1414.43408203125,7304.94677734375,0,0,0.819277107715607,1,0.200000002980232,10.1502237319946,6.09013414382935,10.8269052505493,6.86846923828125,2.03004455566406,43.3076210021973,12,8.89644432067871,0.506817579269409,0,1
"9",12081,1,2,1,35,1,0,7,10,26160,4691.14306640625,2118.30322265625,6809.4462890625,0,1,0.76305216550827,1,0.200000002980232,10.1502237319946,6.09013414382935,10.8269052505493,6.86846923828125,2.03004455566406,43.3076210021973,12,8.82621288299561,0.0953101813793182,0,1
"10",12121,1,2,1,48,1,0,8,5,17080,2690.82421875,811.256591796875,3502.08081054688,0,1,0.76305216550827,1,0.200000002980232,10.1502237319946,6.09013414382935,10.8269052505493,6.86846923828125,2.03004455566406,43.3076210021973,12,8.16139793395996,0.0487901642918587,0,1
"11",13014,1,3,1,45,1,9,4,26,30320,4023.54858398438,1271.14624023438,5294.69482421875,0,1,1.52941179275513,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.10530567169189,2.03004455566406,40.6008949279785,13,8.57464981079102,0.231111720204353,1,1
"12",13015,1,3,1,35,1,0,4,138,84103,3665.583984375,2480.54541015625,6146.12939453125,0,1,1.49019598960876,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.10530567169189,2.03004455566406,40.6008949279785,13,8.72374057769775,0.867100477218628,1,1
"13",13021,1,3,1,55,1,10,4,73,61220,4043.17236328125,1198.572265625,5241.74462890625,0,1,0.656862735748291,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.10530567169189,2.03004455566406,40.6008949279785,13,8.56459999084473,0.548121392726898,1,1
"14",13025,1,3,1,55,1,1,6,262,642238.5,4540.533203125,4913.6103515625,9454.1435546875,0,0,1.49019598960876,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.10530567169189,2.03004455566406,40.6008949279785,13,9.1543140411377,1.28647398948669,1,1
"15",13035,1,3,1,40,1,5,4,128,348335.34375,3636.48657226562,3551.73217773438,7188.21875,0,0,1.49019598960876,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.10530567169189,2.03004455566406,40.6008949279785,13,8.88033771514893,0.824175417423248,1,1
"16",13041,1,3,1,68,1,0,4,55,39100,2275.68017578125,5693.26025390625,7968.9404296875,0,1,0.656862735748291,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.10530567169189,2.03004455566406,40.6008949279785,13,8.98343276977539,0.438254922628403,1,1
"17",13045,1,3,1,48,1,0,4,237,646995.5625,4790.9052734375,2203.61376953125,6994.51904296875,0,1,1.49019598960876,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.10530567169189,2.03004455566406,40.6008949279785,13,8.85302543640137,1.21491277217865,1,1
"18",13054,1,3,1,28,1,0,4,4,12978.7529296875,1783.39428710938,485.51904296875,2268.91333007812,0,0,1.52941179275513,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.10530567169189,2.03004455566406,40.6008949279785,13,7.72749710083008,0.0392207130789757,1,1
"19",13061,1,3,1,55,0,0,4,10,25310,3727.83862304688,715.252685546875,4443.09130859375,0,1,0.656862735748291,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.10530567169189,2.03004455566406,40.6008949279785,13,8.39933109283447,0.0953101813793182,1,1
"20",13091,1,3,1,70,1,0,4,19,34010,3259.57495117188,6084.8896484375,9344.46484375,1,0,0.656862735748291,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.10530567169189,2.03004455566406,40.6008949279785,13,9.14264678955078,0.17395330965519,1,1
"21",13101,1,3,1,55,1,0,4,19,32460,3524.15747070312,755.345947265625,4279.50341796875,0,1,0.656862735748291,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.10530567169189,2.03004455566406,40.6008949279785,13,8.36182594299316,0.17395330965519,1,1
"22",13111,1,3,1,41,1,0,5,3,4242,2404.1142578125,523.07470703125,2927.18896484375,1,0,0.656862735748291,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.10530567169189,2.03004455566406,40.6008949279785,13,7.98213958740234,0.02955880202353,1,1
"23",13121,1,3,1,36,1,0,4,8,11615,3074.84106445312,2156.58422851562,5231.42529296875,0,1,0.656862735748291,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.10530567169189,2.03004455566406,40.6008949279785,13,8.56263065338135,0.0769610404968262,1,1
"24",21015,1,1,2,50,1,12,9,839,1268879.5,4125.953125,2565.826171875,6691.779296875,0,0,1.59313726425171,1,0.800000011920929,10.6013441085815,8.12017822265625,8.12017822265625,7.17373418807983,1.69170391559601,40.6008949279785,21,8.80878448486328,2.23964524269104,0,1
"25",21035,1,1,2,60,1,0,8,194.5,204621.75,1987.92126464844,1221.24108886719,3209.16235351562,0,0,1.59313726425171,1,0.800000011920929,10.6013441085815,8.12017822265625,8.12017822265625,7.17373418807983,1.69170391559601,40.6008949279785,21,8.07407665252686,1.08010876178741,0,1
"26",21045,1,1,2,85,1,0,3,46,56367.578125,2667.02758789062,1439.97827148438,4107.005859375,0,0,1.59313726425171,1,0.800000011920929,10.6013441085815,8.12017822265625,8.12017822265625,7.17373418807983,1.69170391559601,40.6008949279785,21,8.32069301605225,0.37843644618988,0,1
"27",21054,1,1,2,48,1,0,9,2,9581.810546875,5492.248046875,2274.0263671875,7766.2744140625,0,0,1.23529410362244,1,0.800000011920929,10.6013441085815,8.12017822265625,8.12017822265625,7.17373418807983,1.69170391559601,40.6008949279785,21,8.95767498016357,0.0198026280850172,0,1
"28",21061,1,1,2,45,1,0,4,1,5340,3332.318359375,397.888671875,3730.20703125,0,1,0.753676474094391,1,0.800000011920929,10.6013441085815,8.12017822265625,8.12017822265625,7.17373418807983,1.69170391559601,40.6008949279785,21,8.2244873046875,0.00995033048093319,0,1
"29",22021,1,2,2,37,1,0,5,18,13020,2264.44702148438,605.765625,2870.21264648438,0,1,0.602836847305298,1,0.850000023841858,9.02242088317871,6.09013414382935,8.12017822265625,6.10530567169189,1.69170391559601,35.1874389648438,22,7.96248960494995,0.165514439344406,0,1
"30",22024,1,2,2,50,1,0,7,1.5,1353.36315917969,1301.74194335938,245.248779296875,1546.99072265625,0,0,1.36170208454132,1,0.850000023841858,9.02242088317871,6.09013414382935,8.12017822265625,6.10530567169189,1.69170391559601,35.1874389648438,22,7.34471321105957,0.0148886125534773,0,1
"31",22025,1,2,2,35,1,8,6,363,298957.90625,4689.4033203125,2824.919921875,7514.3232421875,0,0,1.98581552505493,1,0.850000023841858,9.02242088317871,6.09013414382935,8.12017822265625,6.10530567169189,1.69170391559601,35.1874389648438,22,8.9246997833252,1.53255689144135,0,1
"32",22031,1,2,2,37,1,0,4,10,6020,2127.8251953125,453.20751953125,2581.03271484375,0,1,0.602836847305298,1,0.850000023841858,9.02242088317871,6.09013414382935,8.12017822265625,6.10530567169189,1.69170391559601,35.1874389648438,22,7.85633230209351,0.0953101813793182,0,1
"33",22044,1,2,2,55,1,0,6,5,3498.44384765625,1571.48010253906,166.125244140625,1737.60534667969,0,0,1.36170208454132,1,0.850000023841858,9.02242088317871,6.09013414382935,8.12017822265625,6.10530567169189,1.69170391559601,35.1874389648438,22,7.46083831787109,0.0487901642918587,0,1
"34",22045,1,2,2,68,1,4,6,263.5,289362.53125,3235.44018554688,765.665283203125,4001.10546875,0,0,1.98581552505493,1,0.850000023841858,9.02242088317871,6.09013414382935,8.12017822265625,6.10530567169189,1.69170391559601,35.1874389648438,22,8.29457569122314,1.29060912132263,0,1
"35",22054,1,2,2,40,1,0,2,1,947.354187011719,2599.810546875,1810.7998046875,4410.6103515625,0,0,1.36170208454132,1,0.850000023841858,9.02242088317871,6.09013414382935,8.12017822265625,6.10530567169189,1.69170391559601,35.1874389648438,22,8.39199542999268,0.00995033048093319,0,1
"36",22061,1,2,2,37,1,12,6,224,200550,2276.80786132812,935.625244140625,3212.43310546875,0,1,0.602836847305298,1,0.850000023841858,9.02242088317871,6.09013414382935,8.12017822265625,6.10530567169189,1.69170391559601,35.1874389648438,22,8.07509517669678,1.17557334899902,0,1
"37",22091,1,2,2,41,1,0,4,11,6190,1318.17565917969,521.044799804688,1839.22045898438,0,1,0.602836847305298,1,0.850000023841858,9.02242088317871,6.09013414382935,8.12017822265625,6.10530567169189,1.69170391559601,35.1874389648438,22,7.51764059066772,0.104360014200211,0,1
"38",22101,1,2,2,37,0,0,3,2,2750,2002.97741699219,376.911499023438,2379.88891601562,0,1,0.602836847305298,1,0.850000023841858,9.02242088317871,6.09013414382935,8.12017822265625,6.10530567169189,1.69170391559601,35.1874389648438,22,7.77522897720337,0.0198026280850172,0,1
"39",22121,1,2,2,53,0,0,1,1,1,3093.7880859375,420.21923828125,3514.00732421875,0,1,0.602836847305298,1,0.850000023841858,9.02242088317871,6.09013414382935,8.12017822265625,6.10530567169189,1.69170391559601,35.1874389648438,22,8.16479682922363,0.00995033048093319,0,1
"40",23031,1,3,2,35,1,0,5,10,6610,2778.18383789062,377.85888671875,3156.04272460938,0,1,0.752136707305908,1,0.75,10.1502237319946,6.09013414382935,8.12017822265625,6.86846923828125,1.69170391559601,35.1874389648438,23,8.05739116668701,0.0953101813793182,0,1
"41",23041,1,3,2,35,1,0,4,1,15400,2501.35327148438,1322.40502929688,3823.75830078125,0,1,0.752136707305908,1,0.75,10.1502237319946,6.09013414382935,8.12017822265625,6.86846923828125,1.69170391559601,35.1874389648438,23,8.2492504119873,0.00995033048093319,0,1
"42",23044,1,3,2,55,1,0,8,16,16868.31640625,1085.90466308594,107.423217773438,1193.32788085938,0,0,1.49743592739105,1,0.75,10.1502237319946,6.09013414382935,8.12017822265625,6.86846923828125,1.69170391559601,35.1874389648438,23,7.08533906936646,0.148420006036758,0,1
